"STATE_FIPS","DAMAGE_CROPS","DAMAGE_PROPERTY","BEGIN_TIME","END_TIME","YEAR","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","MAGNITUDE","END","BEGIN","DAMAGE_KPI"
45,"0","2",2142,2146,2011,0,0,0,0,"55",2146,2142,31.75
45,"0","2",2154,2158,2011,0,0,0,0,"55",2158,2154,31.75
45,"null","null",112,114,2011,0,0,0,0,"55",114,112,246
45,"null","null",114,116,2011,0,0,0,0,"1",116,114,246
45,"null","null",45,47,2011,0,0,0,0,"55",47,45,246
45,"null","null",110,112,2011,0,0,0,0,"60",112,110,246
13,"null","null",1438,1448,2011,0,0,0,0,"1",1448,1438,49.2
45,"12","30",1435,1439,2011,0,0,0,0,"1.75",1439,1435,60.25
45,"0","14",1513,1521,2011,0,0,0,0,"null",1521,1513,10.625
45,"4","0",1335,1339,2011,0,0,0,0,"1",1339,1335,16.75
45,"8","0",1421,1425,2011,0,0,0,0,"1",1425,1421,24.5
45,"4","0",1505,1509,2011,0,0,0,0,"1",1509,1505,16.75
45,"4","0",1508,1512,2011,0,0,0,0,"0.75",1512,1508,16.75
17,"0","0",1628,1629,2011,0,0,0,0,"0.75",1629,1628,2
45,"null","null",39,41,2011,0,0,0,0,"55",41,39,246
45,"null","null",39,41,2011,0,0,0,0,"55",41,39,246
45,"null","null",14,16,2011,0,0,0,0,"55",16,14,246
45,"null","null",103,105,2011,0,0,0,0,"0.75",105,103,246
45,"0","0.5",1355,1359,2011,0,0,0,0,"55",1359,1355,2.5
48,"null","null",1858,1903,2011,0,0,0,0,"2",1903,1858,10.9333333333333
17,"0","0",1333,1334,2011,0,0,0,0,"0.879999995231628",1334,1333,2
17,"0","0",1333,1334,2011,0,0,0,0,"1",1334,1333,2
36,"0","100",2230,2240,2011,0,0,0,0,"80",2240,2230,5
17,"0","0",1344,1345,2011,0,0,0,0,"0.75",1345,1344,2
17,"0","0",1345,1346,2011,0,0,0,0,"1",1346,1345,2
17,"0","0",1400,1401,2011,0,0,0,0,"1",1401,1400,2
17,"0","0",1405,1406,2011,0,0,0,0,"0.75",1406,1405,2
17,"0","0",1729,1730,2011,0,0,0,0,"0.879999995231628",1730,1729,2
17,"0","0",1737,1738,2011,0,0,0,0,"0.75",1738,1737,2
45,"0","0",1625,1626,2011,0,0,0,0,"1.75",1626,1625,2
45,"0","0",1618,1619,2011,0,0,0,0,"0.75",1619,1618,2
21,"null","null",1825,1835,2011,0,0,0,0,"1",1835,1825,49.2
21,"null","null",2320,2330,2011,0,0,0,0,"52",2330,2320,49.2
21,"null","null",2320,2330,2011,0,0,0,0,"52",2330,2320,49.2
20,"0","0",1935,1936,2011,0,0,0,0,"1",1936,1935,2
37,"null","null",1829,1857,2011,0,0,0,0,"1.25",1857,1829,17.5714285714286
37,"null","null",1529,1600,2011,0,0,0,0,"1.75",1600,1529,6.92957746478873
21,"0","2",1725,1730,2011,0,0,0,0,"52",1730,1725,25.4
21,"0","15",1725,1730,2011,0,0,0,0,"55",1730,1725,18.6
37,"null","null",1450,1500,2011,0,0,0,0,"2",1500,1450,9.84
45,"4","0",1510,1514,2011,0,0,0,0,"0.879999995231628",1514,1510,16.75
45,"0","1",1525,1529,2011,0,0,0,0,"50",1529,1525,3.75
45,"0","6",1542,1546,2011,0,0,0,0,"50",1546,1542,77
45,"8","2",1554,1558,2011,0,0,0,0,"1.25",1558,1554,55.75
45,"15","60",2110,2115,2011,0,0,0,0,"2",2115,2110,69.8
45,"0","5",2156,2200,2011,0,0,0,0,"1",2200,2156,6.34090909090909
45,"10","60",2110,2114,2011,0,0,0,0,"3",2114,2110,84.5
45,"5","40",2125,2130,2011,0,0,0,0,"1.75",2130,2125,66.4
20,"0","0",1623,1624,2011,0,0,0,0,"0.75",1624,1623,2
22,"0","50",1342,1345,2011,0,0,0,0,"null",1345,1342,95
48,"0","1",2300,2303,2011,0,0,0,0,"1",2303,2300,5
1,"0","5",1341,1343,2011,0,0,0,0,"52",1343,1341,139.5
13,"0","38",521,525,2011,0,0,0,0,"55",525,521,60
13,"0","18",451,455,2011,0,0,0,0,"55",455,451,29.25
13,"0","750",225,245,2011,0,0,0,0,"85",245,225,17.35
13,"0","4",209,215,2011,0,0,0,0,"55",215,209,40.6666666666667
48,"null","null",1950,2010,2011,0,0,0,0,"2.75",2010,1950,8.2
48,"null","null",2105,2110,2011,0,0,0,0,"1.75",2110,2105,98.4
48,"null","null",1830,1835,2011,0,0,0,0,"2.75",1835,1830,98.4
17,"0","0",2035,2036,2011,0,0,0,0,"0.75",2036,2035,2
45,"8","2",2355,2359,2011,0,0,0,0,"1.75",2359,2355,55.75
45,"8","2",2250,2252,2011,0,0,0,0,"2",2252,2250,111.5
17,"0","0",1331,1332,2011,0,0,0,0,"1.5",1332,1331,2
17,"0","0",1333,1334,2011,0,0,0,0,"1",1334,1333,2
28,"0","null",1621,1626,2011,0,0,0,0,"1",1626,1621,78
47,"0","null",1654,1659,2011,0,0,0,0,"1",1659,1654,78
28,"0","null",535,540,2011,0,0,0,0,"50",540,535,78
45,"0","0",1412,1413,2011,0,0,0,0,"1",1413,1412,2
20,"0","0",1932,1933,2011,0,0,0,0,"1",1933,1932,2
39,"0","2",135,136,2011,0,0,0,0,"55",136,135,127
39,"0","60",135,139,2011,0,0,0,0,"60",139,135,79
48,"null","null",1650,1700,2011,0,0,0,0,"56",1700,1650,9.84
35,"null","null",1736,1746,2011,0,0,0,0,"2.75",1746,1736,49.2
35,"null","null",1759,1804,2011,0,0,0,0,"2",1804,1759,10.9333333333333
48,"null","null",1836,1841,2011,0,0,0,0,"1.25",1841,1836,98.4
48,"null","null",1836,1841,2011,0,0,0,0,"1.5",1841,1836,98.4
45,"0","0.5",2249,2253,2011,0,0,0,0,"55",2253,2249,2.5
45,"0","0.5",2228,2230,2011,0,0,0,0,"55",2230,2228,5
45,"0","0.5",2224,2228,2011,0,0,0,0,"55",2228,2224,2.5
45,"0","2",2106,2110,2011,0,0,0,0,"55",2110,2106,31.75
45,"0","2",1945,1949,2011,0,0,0,0,"55",1949,1945,31.75
45,"0","2",1941,1945,2011,0,0,0,0,"55",1945,1941,31.75
20,"0","0",1620,1621,2011,0,0,0,0,"1",1621,1620,2
20,"0","0",1633,1634,2011,0,0,0,0,"1",1634,1633,2
47,"0","null",1828,1833,2011,0,0,0,0,"1",1833,1828,78
47,"0","null",1900,1905,2011,0,0,0,0,"1",1905,1900,78
28,"0","null",1639,1721,2011,0,0,0,0,"1.75",1721,1639,4.75609756097561
28,"0","null",1649,1725,2011,0,0,0,0,"1.75",1725,1649,5.13157894736842
28,"0","300",1721,1802,2011,0,0,0,0,"2.5",1802,1721,2.65432098765432
45,"0","0",1625,1626,2011,0,0,0,0,"1",1626,1625,2
45,"0","0",1600,1601,2011,0,0,0,0,"1",1601,1600,2
45,"0","0",1620,1621,2011,0,0,0,0,"1",1621,1620,2
45,"0","0",1621,1622,2011,0,0,0,0,"0.879999995231628",1622,1621,2
20,"0","0",1939,1940,2011,0,0,0,0,"1",1940,1939,2
18,"0","0",426,427,2011,0,0,0,0,"55",427,426,2
18,"0","0",2058,2059,2011,0,0,0,0,"65",2059,2058,2
18,"0","0",2115,2116,2011,0,0,0,0,"55",2116,2115,2
37,"null","null",1603,1630,2011,0,0,0,0,"1.75",1630,1603,18.2222222222222
17,"0","0",430,431,2011,0,0,0,0,"0.75",431,430,2
28,"0","30",1540,1542,2011,0,0,0,0,"null",1542,1540,107
20,"0","0",1640,1641,2011,0,0,0,0,"1",1641,1640,2
20,"0","0",1715,1716,2011,0,0,0,0,"1",1716,1715,2
20,"0","0",1622,1623,2011,0,0,0,0,"1",1623,1622,2
22,"0","200",1345,1352,2011,0,0,0,0,"null",1352,1345,21.4285714285714
50,"0","400",1545,1730,2011,0,0,0,0,"null",1730,1545,1.38378378378378
51,"0","5",1750,1800,2011,0,0,0,0,"52",1800,1750,5.58
51,"0","20",1800,1810,2011,0,0,0,0,"55",1810,1800,14.8
51,"0","5",1830,1840,2011,0,0,0,0,"52",1840,1830,27.9
51,"0","10",1800,1810,2011,0,0,0,0,"55",1810,1800,4.4
37,"0","5",2135,2140,2011,0,0,0,0,"52",2140,2135,55.8
51,"0","3",1730,1740,2011,0,0,0,0,"52",1740,1730,19.4
47,"0","25",1712,1725,2011,0,0,0,0,"60",1725,1712,13
47,"0","30",1730,1750,2011,0,0,0,0,"60",1750,1730,10.7
47,"0","25",1730,1750,2011,0,0,0,0,"60",1750,1730,8.45
47,"0","10",1610,1620,2011,0,0,0,0,"55",1620,1610,4.4
47,"0","5",1640,1655,2011,0,0,0,0,"55",1655,1640,18.6
47,"0","10",1745,1755,2011,0,0,0,0,"55",1755,1745,4.4
47,"0","20",1810,1830,2011,0,0,0,0,"60",1830,1810,7.4
47,"0","15",1846,1900,2011,0,0,0,0,"55",1900,1846,1.72222222222222
51,"0","5",1600,1610,2011,0,0,0,0,"52",1610,1600,27.9
51,"0","8",1751,1800,2011,0,0,0,0,"52",1800,1751,7.20408163265306
51,"0","12",1756,1805,2011,0,0,0,0,"55",1805,1756,1.30612244897959
47,"0","5",1428,1435,2011,0,0,0,0,"52",1435,1428,39.8571428571429
47,"0","5",1855,1905,2011,0,0,0,0,"55",1905,1855,5.58
47,"0","5",1607,1617,2011,0,0,0,0,"55",1617,1607,27.9
47,"0","15",1620,1630,2011,0,0,0,0,"55",1630,1620,9.3
47,"0","25",1638,1645,2011,0,0,0,0,"60",1645,1638,24.1428571428571
47,"0","10",1645,1655,2011,0,0,0,0,"60",1655,1645,4.4
47,"0","20",1727,1737,2011,0,0,0,0,"55",1737,1727,14.8
47,"0","15",1820,1830,2011,0,0,0,0,"55",1830,1820,9.3
37,"0","20",1621,1630,2011,0,0,0,0,"60",1630,1621,16.4444444444444
