"STATE_FIPS","DAMAGE_CROPS","DAMAGE_PROPERTY","BEGIN_TIME","END_TIME","YEAR","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","MAGNITUDE","END","BEGIN","DAMAGE_KPI","STATE"
"45","0","2","2142","2146","2011","0","0","0","0","55","2146","2142","31.75","South Carolina"
"45","0","2","2154","2158","2011","0","0","0","0","55","2158","2154","31.75","South Carolina"
"45","0","0","112","114","2011","0","0","0","0","55","114","112","246","South Carolina"
"45","0","0","114","116","2011","0","0","0","0","1","116","114","246","South Carolina"
"45","0","0","45","47","2011","0","0","0","0","55","47","45","246","South Carolina"
"45","0","0","110","112","2011","0","0","0","0","60","112","110","246","South Carolina"
"13","0","0","1438","1448","2011","0","0","0","0","1","1448","1438","49.2","Georgia"
"45","12","30","1435","1439","2011","0","0","0","0","1.75","1439","1435","60.25","South Carolina"
"45","0","14","1513","1521","2011","0","0","0","0","0","1521","1513","10.625","South Carolina"
"45","4","0","1335","1339","2011","0","0","0","0","1","1339","1335","16.75","South Carolina"
"45","8","0","1421","1425","2011","0","0","0","0","1","1425","1421","24.5","South Carolina"
"45","4","0","1505","1509","2011","0","0","0","0","1","1509","1505","16.75","South Carolina"
"45","4","0","1508","1512","2011","0","0","0","0","0.75","1512","1508","16.75","South Carolina"
"17","0","0","1628","1629","2011","0","0","0","0","0.75","1629","1628","2","Illinois"
"45","0","0","39","41","2011","0","0","0","0","55","41","39","246","South Carolina"
"45","0","0","39","41","2011","0","0","0","0","55","41","39","246","South Carolina"
"45","0","0","14","16","2011","0","0","0","0","55","16","14","246","South Carolina"
"45","0","0","103","105","2011","0","0","0","0","0.75","105","103","246","South Carolina"
"45","0","0.5","1355","1359","2011","0","0","0","0","55","1359","1355","2.5","South Carolina"
"48","0","0","1858","1903","2011","0","0","0","0","2","1903","1858","10.9333333333333","Texas"
"17","0","0","1333","1334","2011","0","0","0","0","0.879999995231628","1334","1333","2","Illinois"
"17","0","0","1333","1334","2011","0","0","0","0","1","1334","1333","2","Illinois"
"36","0","100","2230","2240","2011","0","0","0","0","80","2240","2230","5","New York"
"17","0","0","1344","1345","2011","0","0","0","0","0.75","1345","1344","2","Illinois"
"17","0","0","1345","1346","2011","0","0","0","0","1","1346","1345","2","Illinois"
"17","0","0","1400","1401","2011","0","0","0","0","1","1401","1400","2","Illinois"
"17","0","0","1405","1406","2011","0","0","0","0","0.75","1406","1405","2","Illinois"
"17","0","0","1729","1730","2011","0","0","0","0","0.879999995231628","1730","1729","2","Illinois"
"17","0","0","1737","1738","2011","0","0","0","0","0.75","1738","1737","2","Illinois"
"45","0","0","1625","1626","2011","0","0","0","0","1.75","1626","1625","2","South Carolina"
"45","0","0","1618","1619","2011","0","0","0","0","0.75","1619","1618","2","South Carolina"
"21","0","0","1825","1835","2011","0","0","0","0","1","1835","1825","49.2","Kentucky"
"21","0","0","2320","2330","2011","0","0","0","0","52","2330","2320","49.2","Kentucky"
